name,omega1_1,phi1_1,d_1,r1_1,translate_x_1,translate_y_1,translate_z_1,rotate_phi_1,rotate_theta_1,rotate_psi_1,length_1,rmsd_1,omega1_2,phi1_2,d_2,r1_2,translate_x_2,translate_y_2,translate_z_2,rotate_phi_2,rotate_theta_2,rotate_psi_2,length_2,rmsd_2
loop_0,1.75,2.07,1.51,2.26,0.14,-0.03,-9.09,-0.02,-0.03,0.00,16.00,0.27,1.75,1.73,1.51,2.26,5.00,9.05,-6.74,2.61,0.42,1.32,17.00,0.10
loop_1,1.75,2.10,1.51,2.26,0.00,0.13,-9.04,0.04,-0.01,-0.00,17.00,0.26,1.75,0.38,1.51,2.26,6.61,-9.37,-9.53,-2.59,0.03,-0.10,17.00,0.12
loop_10,1.75,2.10,1.51,2.26,0.32,-0.08,-9.07,-0.04,0.00,-0.00,16.00,0.60,1.75,1.39,1.51,2.26,7.56,8.55,-5.00,2.49,0.22,0.63,17.00,0.09
loop_100,1.75,2.10,1.51,2.26,-0.02,0.02,-9.05,0.01,0.01,0.00,16.00,0.05,1.75,-3.03,1.51,2.26,12.42,2.36,-11.03,2.95,-0.64,-2.56,17.00,0.72
loop_1000,1.75,2.08,1.51,2.26,0.13,-0.02,-9.11,-0.00,-0.04,0.00,17.00,0.28,1.75,2.38,1.51,2.26,4.99,-10.20,-10.88,-2.89,-0.09,0.71,17.00,0.10
loop_10000,1.75,2.09,1.51,2.26,0.08,0.02,-9.06,0.00,-0.02,-0.00,17.00,0.11,1.75,1.51,1.51,2.26,3.79,-10.69,-7.55,-2.79,0.01,-0.04,17.00,0.13
loop_10001,1.75,2.12,1.51,2.26,0.03,-0.01,-9.07,-0.00,-0.01,0.00,16.00,0.11,1.75,2.71,1.51,2.26,-4.70,7.79,-5.89,-2.82,0.61,-2.20,17.00,0.26
loop_10002,1.75,2.10,1.51,2.26,0.07,0.01,-9.02,0.00,-0.02,-0.00,17.00,0.12,1.75,-0.96,1.51,2.26,8.24,-3.60,-6.53,3.07,-0.10,-1.86,17.00,0.21
loop_10003,1.75,2.11,1.51,2.26,0.15,-0.02,-9.05,-0.02,-0.03,0.00,16.00,0.23,1.75,1.63,1.51,2.26,5.86,8.69,-6.65,2.57,0.35,1.07,17.00,0.23
loop_10004,1.75,2.04,1.51,2.26,0.18,-0.12,-9.10,-0.03,-0.05,0.00,17.00,0.41,1.75,-0.99,1.51,2.26,-3.75,-9.22,-12.42,-3.10,0.43,-2.97,17.00,0.39
loop_10005,1.75,2.07,1.51,2.26,-0.12,0.07,-9.07,0.03,0.03,0.00,16.00,0.24,1.75,1.31,1.51,2.26,4.50,11.10,-5.72,2.80,0.26,1.29,17.00,0.14
loop_10006,1.75,0.35,1.51,2.26,-0.20,0.04,-10.63,0.02,0.04,0.00,18.00,0.36,1.75,-0.29,1.51,2.26,-10.52,-0.73,-9.78,2.99,0.34,2.32,17.00,0.18
loop_10007,1.75,2.14,1.51,2.26,0.04,0.01,-9.05,0.01,-0.01,-0.00,16.00,0.17,1.75,2.44,1.51,2.26,-2.61,8.91,-5.19,-3.04,0.50,-2.75,17.00,0.10
loop_10008,1.75,2.18,1.51,2.26,0.06,0.14,-8.99,0.04,-0.02,-0.00,17.00,0.39,1.75,-0.29,1.51,2.26,7.74,-5.23,-7.42,-2.69,0.05,-0.23,17.00,0.18
loop_10009,1.75,2.05,1.51,2.26,0.19,-0.19,-9.13,-0.04,-0.04,0.00,17.00,0.43,1.75,-0.76,1.51,2.26,7.30,-8.39,-9.78,3.04,-0.58,-2.80,17.00,0.12
loop_1001,1.75,2.11,1.51,2.26,0.00,0.03,-9.04,0.01,0.00,0.00,16.00,0.08,1.75,1.68,1.51,2.26,9.44,2.12,-11.69,-3.04,-0.16,1.95,17.00,0.08
loop_10010,1.75,2.08,1.51,2.26,0.03,0.11,-9.04,0.04,-0.02,-0.00,17.00,0.29,1.75,1.04,1.51,2.26,8.92,-6.40,-7.43,-2.82,-0.11,0.63,17.00,0.16
loop_10011,1.75,2.15,1.51,2.26,0.08,-0.04,-9.02,-0.01,-0.02,0.00,16.00,0.24,1.75,1.15,1.51,2.26,0.12,11.16,-3.80,2.94,0.27,1.88,17.00,0.23
loop_10012,1.75,2.06,1.51,2.26,-0.12,0.10,-9.08,0.03,0.03,0.00,16.00,0.31,1.75,1.76,1.51,2.26,0.66,11.65,-5.70,2.80,0.55,2.05,17.00,0.15
loop_10013,1.75,2.11,1.51,2.26,0.08,0.09,-9.06,0.02,-0.01,-0.00,16.00,0.15,1.75,0.50,1.51,2.26,10.35,-0.38,-9.52,-2.84,-0.07,0.43,17.00,0.13
loop_10014,1.75,2.10,1.51,2.26,-0.00,-0.05,-9.08,-0.01,0.00,-0.00,17.00,0.10,1.75,-2.41,1.51,2.26,9.56,-9.74,-8.92,-2.79,-0.48,1.88,18.00,0.11
loop_10015,1.75,0.34,1.51,2.26,-0.23,0.09,-10.65,-0.00,-0.02,0.00,18.00,0.54,1.75,0.31,1.51,2.26,-9.44,-0.74,-9.40,3.13,0.15,2.93,17.00,0.10
loop_10016,1.75,2.11,1.51,2.26,-0.07,0.00,-9.03,0.01,0.02,0.00,16.00,0.19,1.75,2.16,1.51,2.26,-5.22,10.52,-6.49,3.07,0.69,2.93,17.00,0.23
loop_10017,1.75,2.12,1.51,2.26,0.24,-0.16,-9.06,-0.05,-0.06,0.00,16.00,0.43,1.75,0.41,1.51,2.26,7.64,-6.98,-12.22,-2.93,0.08,-0.72,17.00,0.14
loop_10018,1.75,2.06,1.51,2.26,-0.11,0.02,-9.11,0.01,0.02,0.00,16.00,0.22,1.75,1.97,1.51,2.26,1.63,10.62,-5.40,2.99,0.41,2.44,17.00,0.19
loop_10019,1.75,2.11,1.51,2.26,-0.12,0.21,-9.04,0.06,0.01,0.00,17.00,0.44,1.75,0.42,1.51,2.26,7.65,-8.13,-9.59,-2.51,-0.04,0.14,17.00,0.11
loop_1002,1.75,2.11,1.51,2.26,0.18,-0.07,-9.14,-0.02,-0.04,0.00,17.00,0.34,1.75,-1.11,1.51,2.26,8.27,-7.65,-9.41,3.10,-0.46,-2.95,17.00,0.10
loop_10020,1.75,0.39,1.51,2.26,-0.08,-0.17,-10.62,-0.04,0.02,-0.00,18.00,0.40,1.75,-0.09,1.51,2.26,-10.14,-0.88,-10.18,3.03,0.33,2.51,17.00,0.09
loop_10021,1.75,2.10,1.51,2.26,0.03,0.16,-9.03,0.05,-0.02,-0.00,17.00,0.34,1.75,0.08,1.51,2.26,7.19,-6.03,-7.31,-2.77,0.02,-0.10,17.00,0.10
loop_10022,1.75,2.11,1.51,2.26,0.25,-0.11,-9.05,-0.05,-0.05,0.00,16.00,0.43,1.75,1.61,1.51,2.26,4.52,9.55,-7.69,2.37,0.44,1.01,17.00,0.14
loop_10023,1.75,2.14,1.51,2.26,0.13,0.04,-9.02,0.00,-0.03,-0.00,17.00,0.22,1.75,2.19,1.51,2.26,5.56,-8.11,-7.17,-2.94,-0.08,0.79,17.00,0.14
loop_10024,1.75,2.11,1.51,2.26,0.14,0.04,-9.07,-0.01,-0.03,0.00,16.00,0.23,1.75,1.14,1.51,2.26,7.79,9.03,-5.58,2.61,0.13,0.48,17.00,0.24
loop_10025,1.75,2.04,1.51,2.26,0.05,0.05,-9.10,0.01,-0.01,-0.00,16.00,0.23,1.75,0.53,1.51,2.26,9.71,-1.17,-9.94,-3.03,-0.03,0.45,17.00,0.12
loop_10026,1.75,2.04,1.51,2.26,-0.12,0.10,-9.09,0.03,0.03,0.00,16.00,0.33,1.75,1.65,1.51,2.26,2.07,11.96,-6.19,2.62,0.48,1.49,17.00,0.17
loop_10027,1.75,2.13,1.51,2.26,-0.02,0.10,-9.03,0.03,-0.00,-0.00,17.00,0.23,1.75,1.32,1.51,2.26,8.54,-4.76,-8.46,-2.95,-0.11,1.05,17.00,0.14
loop_10028,1.75,2.06,1.51,2.26,-0.06,0.06,-9.08,0.02,0.02,0.00,16.00,0.21,1.75,1.76,1.51,2.26,3.89,10.75,-4.16,2.73,0.31,1.29,17.00,0.13
loop_10029,1.75,2.14,1.51,2.26,0.06,-0.00,-9.02,-0.00,-0.01,0.00,17.00,0.20,1.75,0.04,1.51,2.26,7.40,-7.12,-7.50,-2.71,0.04,-0.19,17.00,0.06
loop_1003,1.75,2.13,1.51,2.26,0.04,-0.08,-9.03,-0.01,-0.00,0.00,16.00,0.18,1.75,2.50,1.51,2.26,-9.95,8.46,-8.50,-3.08,1.03,-3.04,17.00,0.15
loop_10030,1.75,2.07,1.51,2.26,0.19,-0.12,-9.07,-0.05,-0.04,0.00,16.00,0.40,1.75,1.13,1.51,2.26,6.33,11.71,-8.93,2.15,0.30,0.55,17.00,0.14
loop_10031,1.75,2.09,1.51,2.26,-0.01,0.08,-9.07,0.02,0.00,0.00,17.00,0.14,1.75,0.58,1.51,2.26,3.05,-10.17,-9.30,-2.76,0.14,-0.72,17.00,0.11
loop_10032,1.75,2.11,1.51,2.26,0.11,0.01,-9.03,-0.00,-0.02,0.00,17.00,0.17,1.75,0.15,1.51,2.26,5.16,-9.17,-7.50,-2.80,0.15,-0.84,17.00,0.19
loop_10033,1.75,0.38,1.51,2.26,0.00,0.14,-10.56,0.04,0.01,0.00,18.00,0.34,1.75,0.88,1.51,2.26,-11.24,-3.79,-12.41,-2.88,0.53,-2.23,17.00,0.13
loop_10034,1.75,0.33,1.51,2.26,-0.03,0.20,-10.59,0.06,0.02,0.00,18.00,0.44,1.75,1.74,1.51,2.26,-10.10,-1.81,-11.09,-2.93,0.33,-1.99,17.00,0.08
loop_10035,1.75,2.11,1.51,2.26,0.27,-0.12,-9.08,-0.04,-0.06,0.00,17.00,0.47,1.75,-0.52,1.51,2.26,-1.35,-10.53,-11.70,-3.02,0.31,-2.39,17.00,0.39
loop_10036,1.75,2.14,1.51,2.26,0.04,0.11,-9.08,0.02,-0.01,-0.00,17.00,0.21,1.75,0.22,1.51,2.26,6.66,-7.92,-8.46,-2.72,0.09,-0.43,17.00,0.27
loop_10037,1.75,2.07,1.51,2.26,-0.06,0.03,-9.08,0.01,0.02,0.00,16.00,0.15,1.75,1.91,1.51,2.26,4.43,9.81,-6.17,2.98,0.29,2.15,17.00,0.24
loop_10038,1.75,2.04,1.51,2.26,0.08,0.09,-9.17,0.01,-0.02,-0.00,16.00,0.33,1.75,-0.26,1.51,2.26,8.88,-2.94,-10.54,-3.01,0.05,-0.73,17.00,0.26
loop_10039,1.75,2.06,1.51,2.26,0.09,-0.03,-9.11,-0.02,-0.02,0.00,16.00,0.24,1.75,1.63,1.51,2.26,5.20,8.65,-7.90,2.31,0.35,0.76,17.00,0.13
loop_1004,1.75,2.08,1.51,2.26,-0.01,0.15,-9.07,0.04,0.01,0.00,16.00,0.30,1.75,0.67,1.51,2.26,9.87,-2.71,-11.62,-2.64,-0.11,0.44,17.00,0.24
loop_10040,1.75,2.11,1.51,2.26,-0.04,-0.01,-9.05,0.01,0.02,0.00,16.00,0.18,1.75,0.47,1.51,2.26,4.30,9.88,-12.50,2.60,0.22,0.74,17.00,0.12
loop_10041,1.75,2.10,1.51,2.26,0.00,0.04,-9.05,0.01,0.00,0.00,16.00,0.06,1.75,2.34,1.51,2.26,5.32,8.08,-6.49,3.00,0.31,2.29,17.00,0.24
loop_10042,1.75,2.06,1.51,2.26,0.02,0.05,-9.07,0.01,-0.01,-0.00,17.00,0.15,1.75,2.42,1.51,2.26,7.19,-8.17,-7.92,-2.94,-0.17,1.40,17.00,0.17
loop_10043,1.75,2.03,1.51,2.26,0.07,0.16,-9.17,0.03,-0.02,-0.00,16.00,0.36,1.75,-0.22,1.51,2.26,8.81,-2.15,-10.76,-3.02,0.05,-0.72,17.00,0.31
loop_10044,1.75,2.11,1.51,2.26,0.09,0.02,-9.03,0.00,-0.02,-0.00,17.00,0.12,1.75,1.57,1.51,2.26,7.65,-5.94,-7.64,-3.03,-0.05,0.82,17.00,0.11
loop_10045,1.75,2.13,1.51,2.26,0.07,0.00,-9.05,0.00,-0.01,-0.00,16.00,0.14,1.75,0.69,1.51,2.26,8.06,7.38,-9.49,2.76,0.07,0.37,17.00,0.12
loop_10046,1.75,2.12,1.51,2.26,0.32,-0.13,-9.04,-0.06,-0.06,0.00,16.00,0.53,1.75,1.85,1.51,2.26,3.34,9.30,-6.88,2.62,0.60,1.71,17.00,0.17
loop_10047,1.75,2.11,1.51,2.26,-0.04,0.01,-9.06,0.01,0.01,0.00,16.00,0.13,1.75,1.27,1.51,2.26,3.35,9.14,-2.38,3.03,-0.14,-1.79,18.00,0.19
loop_10048,1.75,2.00,1.51,2.26,0.17,0.01,-9.26,0.00,-0.03,-0.00,17.00,0.55,1.75,-1.96,1.51,2.26,3.65,-11.76,-12.15,-2.72,-0.51,1.77,17.00,0.07
loop_10049,1.75,2.13,1.51,2.26,-0.04,-0.02,-9.05,0.01,0.02,0.00,16.00,0.22,1.75,1.94,1.51,2.26,-6.33,13.17,-8.01,2.57,0.85,1.99,17.00,0.08
loop_1005,1.75,2.06,1.51,2.26,0.08,-0.10,-9.17,-0.03,-0.00,0.00,17.00,0.32,1.75,-0.67,1.51,2.26,7.58,-7.22,-10.40,2.95,-0.62,-2.56,17.00,0.24
loop_10050,1.75,2.04,1.51,2.26,-0.06,0.15,-9.11,0.04,0.02,0.00,16.00,0.32,1.75,1.27,1.51,2.26,3.96,12.71,-5.64,2.39,0.32,0.78,17.00,0.12
loop_10051,1.75,2.00,1.51,2.26,0.12,-0.03,-9.26,-0.01,-0.02,0.00,17.00,0.52,1.75,-2.51,1.51,2.26,1.50,-11.27,-9.64,-2.87,-0.22,1.36,17.00,0.05
loop_10052,1.75,0.32,1.51,2.26,-0.43,0.56,-10.69,0.07,0.04,0.00,18.00,0.82,1.75,-3.10,1.51,2.26,-7.12,8.20,-9.17,2.74,-0.04,-0.18,17.00,0.17
loop_10053,1.75,2.03,1.51,2.26,0.13,-0.20,-9.12,-0.04,-0.03,0.00,17.00,0.42,1.75,0.03,1.51,2.26,-4.71,-11.14,-13.03,-2.93,0.32,-2.00,17.00,0.51
loop_10054,1.75,2.12,1.51,2.26,0.12,0.15,-9.01,0.05,-0.03,-0.00,17.00,0.37,1.75,0.54,1.51,2.26,7.69,-5.08,-4.91,-2.88,-0.04,0.31,17.00,0.12
loop_10055,1.75,2.15,1.51,2.26,0.01,-0.02,-9.05,0.01,0.01,0.00,16.00,0.23,1.75,15.46,1.51,2.26,-10.11,7.68,-6.40,-2.87,0.91,-2.61,17.00,0.23
loop_10056,1.75,2.09,1.51,2.26,0.32,-0.32,-9.06,-0.07,-0.08,0.00,17.00,0.65,1.75,-1.66,1.51,2.26,0.42,-9.96,-8.76,3.10,0.25,2.78,17.00,0.27
loop_10057,1.75,2.19,1.51,2.26,0.39,-0.14,-8.99,-0.04,-0.10,0.00,16.00,0.68,1.75,2.21,1.51,2.26,-5.81,8.47,-6.18,-2.97,0.59,-2.60,17.00,0.14
loop_10058,1.75,2.17,1.51,2.26,-0.06,-0.08,-9.04,-0.00,0.03,-0.00,16.00,0.34,1.75,-3.04,1.51,2.26,-10.40,2.95,-7.70,-2.35,0.71,-1.46,17.00,0.13
loop_10059,1.75,2.12,1.51,2.26,0.02,0.01,-9.04,0.00,-0.00,-0.00,16.00,0.09,1.75,1.24,1.51,2.26,2.30,10.13,-4.30,2.95,0.24,1.77,17.00,0.18
loop_1006,1.75,2.11,1.51,2.26,0.08,-0.08,-9.03,-0.01,-0.02,0.00,17.00,0.15,1.75,-1.32,1.51,2.26,10.59,-1.48,-6.30,2.95,-0.28,-1.96,17.00,0.21
loop_10060,1.75,2.06,1.51,2.26,0.17,-0.11,-9.10,-0.03,-0.04,0.00,17.00,0.35,1.75,-2.31,1.51,2.26,5.14,-11.03,-10.98,-2.94,-0.30,1.98,17.00,0.15
loop_10061,1.75,2.14,1.51,2.26,0.03,0.02,-9.05,0.01,-0.00,-0.00,16.00,0.17,1.75,2.51,1.51,2.26,-3.19,8.73,-5.23,-2.99,0.55,-2.62,17.00,0.22
loop_10062,1.75,2.05,1.51,2.26,0.18,-0.27,-9.16,-0.06,-0.04,0.00,17.00,0.53,1.75,-1.49,1.51,2.26,-2.37,-9.74,-10.25,3.11,0.24,2.86,17.00,0.10
loop_10063,1.75,2.14,1.51,2.26,0.02,0.04,-9.05,0.01,-0.01,-0.00,17.00,0.19,1.75,1.98,1.51,2.26,0.42,-11.15,-13.99,-2.74,-0.03,0.14,17.00,0.19
loop_10064,1.75,2.17,1.51,2.26,0.13,0.02,-9.02,-0.00,-0.03,0.00,17.00,0.30,1.75,-1.76,1.51,2.26,8.59,-3.33,-6.60,3.13,-0.06,-2.63,17.00,0.21
loop_10065,1.75,2.06,1.51,2.26,0.07,-0.18,-9.17,0.03,-0.03,-0.00,17.00,0.54,1.75,-0.35,1.51,2.26,8.19,-7.13,-9.65,2.92,-0.71,-2.55,17.00,0.13
loop_10066,1.75,2.12,1.51,2.26,0.02,0.01,-9.04,0.00,-0.00,-0.00,17.00,0.11,1.75,2.20,1.51,2.26,7.00,-7.16,-9.01,-2.98,-0.11,1.19,17.00,0.08
loop_10067,1.75,2.17,1.51,2.26,0.01,0.12,-8.99,0.04,-0.02,-0.00,17.00,0.38,1.75,0.04,1.51,2.26,8.30,-4.68,-6.99,-2.70,-0.04,0.20,17.00,0.10
loop_10068,1.75,2.03,1.51,2.26,0.29,0.09,-9.12,0.01,-0.08,-0.00,17.00,0.58,1.75,15.53,1.51,2.26,4.24,-9.14,-9.78,-3.07,-0.05,1.26,17.00,0.26
loop_10069,1.75,2.10,1.51,2.26,0.15,-0.06,-9.08,-0.03,-0.03,0.00,16.00,0.26,1.75,1.21,1.51,2.26,2.07,14.44,-9.07,2.10,0.48,0.81,17.00,0.10
loop_1007,1.75,2.10,1.51,2.26,0.01,0.05,-9.05,0.01,-0.00,-0.00,16.00,0.07,1.75,2.40,1.51,2.26,2.39,8.63,-6.01,3.08,0.41,2.86,17.00,0.10
loop_10070,1.75,2.09,1.51,2.26,-0.19,0.00,-9.04,0.02,0.05,0.00,16.00,0.35,1.75,1.60,1.51,2.26,0.68,12.00,-2.50,2.89,-0.15,-1.08,18.00,0.20
loop_10071,1.75,2.16,1.51,2.26,0.11,0.10,-8.99,0.04,-0.03,-0.00,17.00,0.39,1.75,-0.14,1.51,2.26,7.75,-6.60,-7.05,-2.61,0.04,-0.14,17.00,0.17
loop_10072,1.75,2.07,1.51,2.26,0.14,0.01,-9.07,-0.00,-0.02,0.00,16.00,0.21,1.75,-1.60,1.51,2.26,9.99,-1.42,-10.00,3.13,-0.03,-2.19,17.00,0.16
loop_10073,1.75,2.13,1.51,2.26,0.08,0.05,-9.02,0.00,-0.01,-0.00,16.00,0.16,1.75,1.97,1.51,2.26,-2.93,10.19,-6.42,3.09,0.64,3.00,17.00,0.16
loop_10074,1.75,2.10,1.51,2.26,-0.08,-0.05,-9.06,0.01,0.02,0.00,16.00,0.21,1.75,0.88,1.51,2.26,3.36,10.83,-3.04,2.89,-0.28,-1.67,18.00,0.13
loop_10075,1.75,2.11,1.51,2.26,0.01,0.05,-9.02,0.02,0.01,0.00,16.00,0.17,1.75,0.98,1.51,2.26,9.95,-3.14,-12.51,-2.70,-0.15,0.66,17.00,0.13
loop_10076,1.75,2.15,1.51,2.26,0.06,-0.04,-9.02,-0.01,-0.01,0.00,16.00,0.22,1.75,1.04,1.51,2.26,1.89,10.33,-3.52,2.91,0.25,1.63,17.00,0.21
loop_10077,1.75,2.10,1.51,2.26,0.02,0.06,-9.03,0.02,-0.01,-0.00,17.00,0.11,1.75,1.72,1.51,2.26,3.27,-10.31,-8.47,-2.77,0.00,-0.00,17.00,0.15
loop_10078,1.75,0.31,1.51,2.26,-0.17,0.07,-10.63,0.03,0.03,0.00,18.00,0.37,1.75,1.35,1.51,2.26,-10.58,0.02,-10.18,-3.05,0.35,-2.61,17.00,0.10
loop_10079,1.75,2.12,1.51,2.26,-0.07,-0.01,-9.08,0.01,0.02,0.00,16.00,0.22,1.75,0.20,1.51,2.26,7.07,7.20,-10.34,2.93,0.03,0.26,17.00,0.19
loop_1008,1.75,2.15,1.51,2.26,0.06,0.11,-9.02,0.02,-0.01,-0.00,17.00,0.23,1.75,0.74,1.51,2.26,2.14,-8.77,-7.63,-2.88,0.13,-0.93,17.00,0.27
loop_10080,1.75,2.10,1.51,2.26,-0.02,-0.01,-9.05,0.00,0.01,0.00,16.00,0.06,1.75,2.21,1.51,2.26,-5.45,13.17,-8.80,2.37,0.89,1.74,17.00,0.08
loop_10081,1.75,2.16,1.51,2.26,0.08,-0.07,-9.02,-0.01,-0.02,0.00,16.00,0.26,1.75,2.46,1.51,2.26,-4.51,8.89,-5.59,-2.96,0.46,-2.41,17.00,0.09
loop_10082,1.75,2.15,1.51,2.26,0.05,0.08,-9.05,0.02,-0.02,-0.00,17.00,0.22,1.75,1.06,1.51,2.26,9.78,-4.83,-8.10,-2.87,-0.12,0.79,17.00,0.21
loop_10083,1.75,2.10,1.51,2.26,0.05,-0.02,-9.02,-0.00,-0.01,0.00,17.00,0.08,1.75,0.35,1.51,2.26,1.85,-9.13,-6.93,-2.93,0.16,-1.31,17.00,0.25
loop_10084,1.75,2.18,1.51,2.26,0.04,0.06,-9.02,0.01,-0.01,-0.00,17.00,0.31,1.75,0.25,1.51,2.26,8.93,-6.20,-7.87,-2.58,-0.06,0.22,17.00,0.12
loop_10085,1.75,2.12,1.51,2.26,0.09,0.11,-9.01,0.04,-0.03,-0.00,17.00,0.29,1.75,0.20,1.51,2.26,7.51,-7.83,-6.83,-2.56,0.00,-0.01,17.00,0.24
loop_10086,1.75,2.17,1.51,2.26,0.08,-0.03,-9.02,-0.01,-0.02,0.00,16.00,0.30,1.75,2.26,1.51,2.26,-4.08,9.04,-5.24,-3.03,0.49,-2.72,17.00,0.09
loop_10087,1.75,2.12,1.51,2.26,0.06,-0.05,-9.02,-0.01,-0.01,0.00,17.00,0.16,1.75,-0.82,1.51,2.26,-3.42,-12.63,-11.05,-2.50,0.58,-1.47,17.00,0.14
loop_10088,1.75,0.35,1.51,2.26,-0.22,0.45,-10.70,0.07,-0.02,-0.00,18.00,0.74,1.75,1.41,1.51,2.26,-10.94,-2.04,-10.07,-2.97,0.29,-2.07,17.00,0.20
loop_10089,1.75,2.12,1.51,2.26,0.31,-0.01,-9.04,-0.03,-0.04,0.00,16.00,0.47,1.75,2.32,1.51,2.26,1.37,9.31,-5.25,2.82,0.65,2.25,17.00,0.18
loop_1009,1.75,2.12,1.51,2.26,-0.05,0.02,-9.08,0.02,0.02,0.00,16.00,0.17,1.75,-0.04,1.51,2.26,6.93,8.59,-10.60,2.88,0.02,0.17,17.00,0.12
loop_10090,1.75,2.08,1.51,2.26,-0.05,0.07,-9.07,0.02,0.01,0.00,16.00,0.14,1.75,2.17,1.51,2.26,-3.90,12.86,-8.63,2.27,0.82,1.50,17.00,0.18
loop_10091,1.75,2.11,1.51,2.26,-0.01,-0.02,-9.07,0.00,0.01,0.00,16.00,0.11,1.75,2.94,1.51,2.26,-9.79,6.03,-10.33,-2.35,1.06,-1.90,17.00,0.22
loop_10092,1.75,2.12,1.51,2.26,-0.15,-0.01,-9.04,0.02,0.04,0.00,16.00,0.33,1.75,2.05,1.51,2.26,-8.30,11.40,-6.90,2.84,0.88,2.52,17.00,0.11
loop_10093,1.75,2.08,1.51,2.26,0.06,-0.03,-9.07,-0.01,-0.01,0.00,16.00,0.10,1.75,1.05,1.51,2.26,6.05,8.61,-10.62,2.51,0.31,0.88,17.00,0.14
loop_10094,1.75,2.08,1.51,2.26,-0.03,0.06,-9.09,0.01,0.01,0.00,16.00,0.13,1.75,1.14,1.51,2.26,3.43,12.25,-5.64,2.49,0.34,0.95,17.00,0.13
loop_10095,1.75,2.17,1.51,2.26,0.17,-0.01,-9.01,-0.01,-0.03,0.00,17.00,0.33,1.75,0.50,1.51,2.26,6.97,-9.72,-7.25,-2.66,0.08,-0.30,17.00,0.25
loop_10096,1.75,0.32,1.51,2.26,-0.37,0.08,-10.68,-0.02,0.03,-0.00,18.00,0.63,1.75,-15.50,1.51,2.26,-7.84,7.71,-10.35,2.52,0.03,0.10,17.00,0.08
loop_10097,1.75,2.12,1.51,2.26,0.40,-0.09,-8.99,-0.04,-0.10,0.00,17.00,0.59,1.75,-0.82,1.51,2.26,9.27,-7.12,-8.47,3.04,-0.35,-2.56,17.00,0.22
loop_10098,1.75,2.08,1.51,2.26,0.12,-0.06,-9.09,-0.03,-0.03,0.00,16.00,0.22,1.75,1.70,1.51,2.26,4.37,9.78,-8.11,2.56,0.48,1.36,17.00,0.21
loop_10099,1.75,2.17,1.51,2.26,0.13,0.12,-9.00,0.03,-0.02,-0.00,16.00,0.34,1.75,1.58,1.51,2.26,4.66,9.02,-9.97,2.98,0.23,1.91,17.00,0.19
loop_101,1.75,2.09,1.51,2.26,-0.05,0.07,-9.07,0.02,0.02,0.00,16.00,0.18,1.75,-1.33,1.51,2.26,10.83,-0.55,-8.08,-3.02,-0.19,1.98,14.00,0.05
loop_1010,1.75,2.11,1.51,2.26,0.03,0.02,-9.08,0.00,-0.01,-0.00,16.00,0.07,1.75,-2.93,1.51,2.26,13.67,0.59,-12.11,3.04,-0.70,-2.86,17.00,0.58
loop_10100,1.75,2.12,1.51,2.26,0.34,-0.24,-9.06,-0.06,-0.09,0.00,17.00,0.72,1.75,0.38,1.51,2.26,-1.28,-11.69,-10.74,-3.00,0.15,-1.69,17.00,0.18
loop_10101,1.75,2.14,1.51,2.26,0.09,0.02,-9.03,0.01,-0.02,-0.00,17.00,0.22,1.75,0.99,1.51,2.26,4.95,-9.90,-7.97,-2.75,0.03,-0.16,17.00,0.17
loop_10102,1.75,2.06,1.51,2.26,0.11,-0.02,-9.12,-0.02,-0.03,0.00,16.00,0.27,1.75,1.35,1.51,2.26,5.74,8.92,-7.95,2.39,0.32,0.78,17.00,0.14
loop_10103,1.75,2.07,1.51,2.26,0.05,-0.12,-9.11,-0.03,-0.02,0.00,16.00,0.26,1.75,1.05,1.51,2.26,6.98,8.67,-9.26,2.43,0.23,0.61,17.00,0.12
loop_10104,1.75,2.08,1.51,2.26,-0.06,-0.00,-9.07,0.01,0.01,0.00,16.00,0.12,1.75,1.69,1.51,2.26,3.15,9.97,-5.08,2.92,0.34,2.01,17.00,0.28
loop_10105,1.75,2.07,1.51,2.26,-0.05,-0.04,-9.04,-0.01,0.01,-0.00,16.00,0.14,1.75,2.14,1.51,2.26,-4.27,13.05,-12.86,1.88,0.95,1.23,17.00,0.14
loop_10106,1.75,2.07,1.51,2.26,-0.01,0.05,-9.07,0.01,0.01,0.00,16.00,0.12,1.75,2.07,1.51,2.26,11.10,2.55,-12.49,-3.02,-0.27,2.32,17.00,0.10
loop_10107,1.75,2.11,1.51,2.26,0.03,-0.17,-9.09,-0.03,-0.01,0.00,16.00,0.19,1.75,1.87,1.51,2.26,-3.13,10.02,-6.17,-3.13,0.52,-3.11,17.00,0.13
loop_10108,1.75,2.11,1.51,2.26,0.12,0.05,-9.03,0.01,-0.02,-0.00,17.00,0.17,1.75,-1.51,1.51,2.26,1.85,-10.14,-7.22,-2.75,0.28,-1.22,17.00,0.52
loop_10109,1.75,0.39,1.51,2.26,-0.15,-0.06,-10.55,-0.00,0.02,-0.00,18.00,0.32,1.75,0.39,1.51,2.26,-10.71,-2.31,-10.68,3.14,0.33,3.11,17.00,0.11
loop_1011,1.75,2.10,1.51,2.26,0.02,0.07,-9.06,0.02,0.00,0.00,16.00,0.13,1.75,0.26,1.51,2.26,10.85,1.48,-7.52,3.10,-0.19,-2.67,14.00,0.04
