name,omega1_1,phi1_1,d_1,r1_1,translate_x_1,translate_y_1,translate_z_1,rotate_phi_1,rotate_theta_1,rotate_psi_1,length_1,rmsd_1,omega1_2,phi1_2,d_2,r1_2,translate_x_2,translate_y_2,translate_z_2,rotate_phi_2,rotate_theta_2,rotate_psi_2,length_2,rmsd_2
loop_24512,1.75,2.13,1.51,2.26,0.01,0.00,-9.05,-0.00,-0.00,0.00,16.00,0.14,1.75,2.30,1.51,2.26,13.03,-5.41,-16.01,-2.32,-0.83,1.59,17.00,0.08
loop_24513,1.75,2.11,1.51,2.26,0.06,0.04,-9.07,0.01,-0.01,-0.00,16.00,0.11,1.75,-2.39,1.51,2.26,11.86,7.04,-10.71,2.78,-0.66,-2.17,17.00,0.14
loop_24514,1.75,2.03,1.51,2.26,0.16,0.06,-9.18,-0.01,-0.04,0.00,16.00,0.43,1.75,-2.72,1.51,2.26,13.32,0.97,-9.08,-3.09,-0.62,2.97,17.00,0.07
loop_24515,1.75,2.08,1.51,2.26,0.05,0.02,-9.07,0.01,-0.01,-0.00,16.00,0.09,1.75,2.15,1.51,2.26,16.00,-3.02,-14.15,-2.66,-0.97,2.27,17.00,0.54
loop_24516,1.75,2.13,1.51,2.26,0.10,-0.00,-9.05,-0.00,-0.02,0.00,16.00,0.18,1.75,-1.84,1.51,2.26,10.14,8.72,-10.61,2.60,-0.50,-1.47,17.00,0.09
loop_24517,1.75,2.10,1.51,2.26,0.24,-0.03,-9.06,-0.03,-0.05,0.00,16.00,0.41,1.75,2.37,1.51,2.26,12.56,-4.63,-11.44,-2.77,-0.56,2.00,17.00,0.13
loop_24518,1.75,2.15,1.51,2.26,0.35,-0.15,-9.01,-0.08,-0.01,0.00,16.00,0.75,1.75,2.03,1.51,2.26,12.30,-8.12,-13.12,-2.46,-0.45,1.14,17.00,0.17
loop_24519,1.75,2.14,1.51,2.26,0.33,-0.16,-9.03,-0.06,-0.08,0.00,16.00,0.55,1.75,1.15,1.51,2.26,9.28,-9.18,-13.96,-2.34,-0.25,0.57,17.00,0.21
loop_2452,1.75,2.14,1.51,2.26,-0.01,-0.07,-9.00,-0.01,0.01,-0.00,16.00,0.22,1.75,2.08,1.51,2.26,-0.02,10.22,-5.43,3.14,0.25,3.14,17.00,0.09
loop_24520,1.75,2.15,1.51,2.26,0.08,0.05,-9.04,0.01,-0.01,-0.00,16.00,0.22,1.75,-2.29,1.51,2.26,13.81,6.44,-14.08,2.67,-0.93,-2.25,17.00,0.10
loop_24521,1.75,2.10,1.51,2.26,0.01,0.05,-9.07,0.01,0.00,0.00,16.00,0.08,1.75,2.83,1.51,2.26,12.66,-0.23,-11.14,-3.11,-0.54,3.04,17.00,0.85
loop_24522,1.75,2.12,1.51,2.26,0.02,0.03,-9.04,0.01,-0.00,-0.00,16.00,0.09,1.75,2.29,1.51,2.26,10.57,2.79,-8.13,2.86,-0.14,-0.93,14.00,0.12
loop_24523,1.75,2.12,1.51,2.26,0.09,0.01,-9.04,-0.00,-0.01,0.00,16.00,0.14,1.75,2.17,1.51,2.26,11.18,5.50,-7.62,2.95,-0.43,-2.31,15.00,0.28
loop_24524,1.75,2.15,1.51,2.26,0.22,-0.22,-9.04,-0.04,-0.06,0.00,16.00,0.44,1.75,-3.10,1.51,2.26,11.73,-1.31,-10.18,3.11,-0.38,-2.98,17.00,0.72
loop_24525,1.75,2.10,1.51,2.26,0.04,0.09,-9.08,0.02,-0.01,-0.00,16.00,0.16,1.75,-2.40,1.51,2.26,9.68,7.23,-8.84,2.90,-0.47,-2.19,17.00,0.15
loop_24526,1.75,2.09,1.51,2.26,0.17,-0.07,-9.07,-0.03,-0.04,0.00,16.00,0.30,1.75,1.58,1.51,2.26,11.43,-4.23,-10.64,-2.65,-0.48,1.53,17.00,0.14
loop_24527,1.75,1.98,1.51,2.26,0.20,0.26,-9.21,0.05,-0.04,-0.00,16.00,0.69,1.75,-2.51,1.51,2.26,11.79,0.60,-7.72,-3.12,-0.42,3.06,17.00,0.07
loop_24528,1.75,2.11,1.51,2.26,0.15,0.05,-9.05,0.00,-0.02,-0.00,16.00,0.21,1.75,-2.46,1.51,2.26,9.87,5.29,-7.98,2.95,-0.41,-2.28,17.00,0.07
loop_24529,1.75,2.05,1.51,2.26,0.07,-0.02,-9.12,-0.01,-0.02,0.00,16.00,0.23,1.75,-1.75,1.51,2.26,11.49,3.38,-9.28,2.91,-0.49,-2.26,17.00,0.09
loop_2453,1.75,2.09,1.51,2.26,-0.08,0.20,-9.08,0.05,0.03,0.00,16.00,0.38,1.75,0.43,1.51,2.26,7.32,7.28,-9.09,2.86,0.02,0.15,17.00,0.08
loop_24530,1.75,2.13,1.51,2.26,0.06,0.06,-9.05,0.01,-0.01,-0.00,16.00,0.14,1.75,-1.56,1.51,2.26,10.84,8.60,-12.22,2.55,-0.52,-1.44,17.00,0.15
loop_24531,1.75,2.12,1.51,2.26,-0.04,0.07,-9.04,0.02,0.02,0.00,16.00,0.21,1.75,-2.45,1.51,2.26,12.09,8.49,-13.35,2.60,-0.81,-1.99,17.00,0.09
loop_24532,1.75,2.12,1.51,2.26,-0.07,-0.05,-9.05,-0.01,0.01,-0.00,16.00,0.18,1.75,-1.78,1.51,2.26,9.20,8.75,-12.18,2.51,-0.48,-1.28,17.00,0.07
loop_24533,1.75,2.14,1.51,2.26,0.03,-0.01,-9.03,0.00,-0.01,-0.00,16.00,0.18,1.75,-1.60,1.51,2.26,12.23,6.94,-14.50,2.52,-0.72,-1.72,17.00,0.15
